[2025-09-13 23:25:43] [INFO    ] discord.client: logging in using static token
[2025-09-13 23:25:44] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'testing-robits', 'primary_guild': None, 'mfa_enabled': True, 'id': '1416456802513584198', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '3078', 'clan': None, 'bot': True, 'avatar': '2a68127a5d58c27f66d4d70cd3e2817d'}, 'session_type': 'normal', 'session_id': '30602a3d6dea65c9c00921221869cbd7', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1416453254677532704'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-south', 'atlanta', 'us-central', 'us-west', 'us-east'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1416456802513584198', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-rw9d",{"micros":144252,"calls":["id_created",{"micros":371,"calls":[]},"session_lookup_time",{"micros":306,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"discord-sessions-prd-2-130",{"micros":142369,"calls":["start_session",{"micros":111111,"calls":["discord-api-rpc-6c68f9c9d5-m9m22",{"micros":52657,"calls":["get_user",{"micros":6315},"get_guilds",{"micros":2848},"send_scheduled_deletion_message",{"micros":11},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":25429},"apex_experiments",{"micros":3268},"user_activities",{"micros":5},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":28,"calls":[]},"presence_started",{"micros":1847,"calls":[]},"guilds_started",{"micros":59,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":29309,"calls":[]},"connect_finished",{"micros":29313,"calls":[]},"build_ready",{"micros":9,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-09-13 23:25:44] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-13 23:25:44] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 30602a3d6dea65c9c00921221869cbd7).
[2025-09-13 23:25:44] [DEBUG   ] discord.client: Dispatching event connect
[2025-09-13 23:25:44] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'premium_tier': 0, 'guild_scheduled_events': [], 'system_channel_id': '1416453255239696598', 'inventory_settings': None, 'mfa_level': 0, 'profile': None, 'voice_states': [], 'incidents_data': None, 'owner_id': '361675863218978816', 'region': 'deprecated', 'owner_configured_content_level': 0, 'id': '1416453254677532704', 'premium_subscription_count': 0, 'soundboard_sounds': [], 'max_video_channel_users': 25, 'premium_features': None, 'name': 'build bot testing groungd', 'explicit_content_filter': 0, 'application_command_counts': {}, 'premium_progress_bar_enabled': False, 'verification_level': 0, 'activity_instances': [], 'moderator_reporting': None, 'default_message_notifications': 0, 'nsfw_level': 0, 'threads': [], 'safety_alerts_channel_id': None, 'banner': None, 'members': [{'user': {'username': 'testing-robits', 'public_flags': 0, 'primary_guild': None, 'id': '1416456802513584198', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3078', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '2a68127a5d58c27f66d4d70cd3e2817d'}, 'roles': ['1416473525404958834'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-13T17:20:05.357000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'latest_onboarding_question_id': None, 'description': None, 'roles': [{'version': 1757779172474, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1416453254677532704', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1757826581380, 'unicode_emoji': None, 'tags': {'bot_id': '1416456802513584198'}, 'position': 2, 'permissions': '563414145559616', 'name': 'testing-robits', 'mentionable': False, 'managed': True, 'id': '1416473525404958834', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1757826581527, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'Member', 'mentionable': False, 'managed': False, 'id': '1416652039727087656', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 3447003}, 'color': 3447003}], 'afk_channel_id': None, 'home_header': None, 'unavailable': False, 'discovery_splash': None, 'lazy': True, 'hub_type': None, 'member_count': 2, 'afk_timeout': 300, 'emojis': [], 'embedded_activities': [], 'channels': [{'version': 1757779172480, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1416453255239696596', 'flags': 0}, {'version': 1757779172488, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1416453255239696597', 'flags': 0}, {'version': 1757779172498, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1416453255239696596', 'name': 'general', 'last_message_id': '1416654129798971412', 'id': '1416453255239696598', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1757779172509, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1416453255239696597', 'name': 'General', 'last_message_id': None, 'id': '1416453255239696599', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'nsfw': False, 'max_members': 25000000, 'rules_channel_id': None, 'splash': None, 'icon': None, 'features': [], 'joined_at': '2025-09-13T17:20:05.357000+00:00', 'stage_instances': [], 'presences': [], 'vanity_url_code': None, 'max_stage_video_channel_users': 50, 'version': 1757826563152, 'preferred_locale': 'en-US', 'system_channel_flags': 0, 'public_updates_channel_id': None, 'stickers': [], 'large': False, 'application_id': None}}
[2025-09-13 23:25:44] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-13 23:25:44] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '2d4a877ed259a7fb790266dd6c793f34', 'members': [{'user': {'username': 'systemglitchfw', 'public_flags': 0, 'primary_guild': {'tag': 'MIKU', 'identity_guild_id': '1369092161970110484', 'identity_enabled': True, 'badge': 'b1634260c0600006319f566a601bacad'}, 'id': '361675863218978816', 'global_name': 'systemglitch', 'display_name_styles': None, 'display_name': 'systemglitch', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1287835633703845888', 'expires_at': None, 'asset': 'a_a8c5af1848e53cc221d149442c03828f'}, 'avatar': 'adfdd3170cc2297300f8761afcf6d83a'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-13T15:59:32.352000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'testing-robits', 'public_flags': 0, 'primary_guild': None, 'id': '1416456802513584198', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3078', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '2a68127a5d58c27f66d4d70cd3e2817d'}, 'roles': ['1416473525404958834'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-13T17:20:05.357000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1416453254677532704', 'chunk_index': 0, 'chunk_count': 1}}
[2025-09-13 23:25:44] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-13 23:25:44] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1416453254677532704.
[2025-09-13 23:25:46] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-09-13 23:25:46] [DEBUG   ] discord.client: Dispatching event ready
[2025-09-13 23:26:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '361675863218978816', 'timestamp': 1757827579, 'member': {'user': {'username': 'systemglitchfw', 'public_flags': 0, 'primary_guild': {'tag': 'MIKU', 'identity_guild_id': '1369092161970110484', 'identity_enabled': True, 'badge': 'b1634260c0600006319f566a601bacad'}, 'id': '361675863218978816', 'global_name': 'systemglitch', 'display_name_styles': None, 'display_name': 'systemglitch', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1287835633703845888', 'expires_at': None, 'asset': 'a_a8c5af1848e53cc221d149442c03828f'}, 'avatar': 'adfdd3170cc2297300f8761afcf6d83a'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-13T15:59:32.352000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1416453255239696598', 'guild_id': '1416453254677532704'}}
[2025-09-13 23:26:20] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-13 23:26:20] [DEBUG   ] discord.client: Dispatching event typing
[2025-09-13 23:26:20] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-09-13 23:26:25] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2025-09-13 23:26:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-13 23:26:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 5, 'op': 0, 'd': {'user_id': '361675863218978816', 'timestamp': 1757827587, 'member': {'user': {'username': 'systemglitchfw', 'public_flags': 0, 'primary_guild': {'tag': 'MIKU', 'identity_guild_id': '1369092161970110484', 'identity_enabled': True, 'badge': 'b1634260c0600006319f566a601bacad'}, 'id': '361675863218978816', 'global_name': 'systemglitch', 'display_name_styles': None, 'display_name': 'systemglitch', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1287835633703845888', 'expires_at': None, 'asset': 'a_a8c5af1848e53cc221d149442c03828f'}, 'avatar': 'adfdd3170cc2297300f8761afcf6d83a'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-13T15:59:32.352000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1416453255239696598', 'guild_id': '1416453254677532704'}}
[2025-09-13 23:26:29] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-13 23:26:29] [DEBUG   ] discord.client: Dispatching event typing
[2025-09-13 23:26:29] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-09-13 23:26:31] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-14T05:26:29.821000+00:00', 'pinned': False, 'nonce': '1416656338590629888', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-13T15:59:32.352000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1416656332295245885', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!assign Member', 'components': [], 'channel_type': 0, 'channel_id': '1416453255239696598', 'author': {'username': 'systemglitchfw', 'public_flags': 0, 'primary_guild': {'tag': 'MIKU', 'identity_guild_id': '1369092161970110484', 'identity_enabled': True, 'badge': 'b1634260c0600006319f566a601bacad'}, 'id': '361675863218978816', 'global_name': 'systemglitch', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'MIKU', 'identity_guild_id': '1369092161970110484', 'identity_enabled': True, 'badge': 'b1634260c0600006319f566a601bacad'}, 'avatar_decoration_data': {'sku_id': '1287835633703845888', 'expires_at': None, 'asset': 'a_a8c5af1848e53cc221d149442c03828f'}, 'avatar': 'adfdd3170cc2297300f8761afcf6d83a'}, 'attachments': [], 'guild_id': '1416453254677532704'}}
[2025-09-13 23:26:31] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-13 23:26:31] [DEBUG   ] discord.client: Dispatching event message
[2025-09-13 23:26:31] [DEBUG   ] discord.client: Dispatching event command
[2025-09-13 23:26:31] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBER_UPDATE', 's': 7, 'op': 0, 'd': {'user': {'username': 'systemglitchfw', 'public_flags': 0, 'primary_guild': {'tag': 'MIKU', 'identity_guild_id': '1369092161970110484', 'identity_enabled': True, 'badge': 'b1634260c0600006319f566a601bacad'}, 'id': '361675863218978816', 'global_name': 'systemglitch', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'MIKU', 'identity_guild_id': '1369092161970110484', 'identity_enabled': True, 'badge': 'b1634260c0600006319f566a601bacad'}, 'avatar_decoration_data': {'sku_id': '1287835633703845888', 'expires_at': None, 'asset': 'a_a8c5af1848e53cc221d149442c03828f'}, 'avatar': 'adfdd3170cc2297300f8761afcf6d83a'}, 'unusual_dm_activity_until': None, 'roles': ['1416652039727087656'], 'premium_since': None, 'pending': False, 'nick': None, 'joined_at': '2025-09-13T15:59:32.352000+00:00', 'guild_id': '1416453254677532704', 'flags': 0, 'communication_disabled_until': None, 'collectibles': None, 'banner': None, 'avatar': None}}
[2025-09-13 23:26:31] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-13 23:26:31] [DEBUG   ] discord.client: Dispatching event member_update
[2025-09-13 23:26:31] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/guilds/1416453254677532704/members/361675863218978816/roles/1416652039727087656 with None has returned 204
[2025-09-13 23:26:31] [DEBUG   ] discord.http: PUT /guilds/{guild_id}/members/{user_id}/roles/{role_id} has found its initial rate limit bucket hash (b0bb9027ff6ae0c9619c2719f4a24de5).
[2025-09-13 23:26:31] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/guilds/1416453254677532704/members/361675863218978816/roles/1416652039727087656 has received 
[2025-09-13 23:26:31] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 8, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-14T05:26:30.201000+00:00', 'pinned': False, 'nonce': '11112965484430785816', 'mentions': [{'username': 'systemglitchfw', 'public_flags': 0, 'primary_guild': {'tag': 'MIKU', 'identity_guild_id': '1369092161970110484', 'identity_enabled': True, 'badge': 'b1634260c0600006319f566a601bacad'}, 'member': {'roles': ['1416652039727087656'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-13T15:59:32.352000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '361675863218978816', 'global_name': 'systemglitch', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'MIKU', 'identity_guild_id': '1369092161970110484', 'identity_enabled': True, 'badge': 'b1634260c0600006319f566a601bacad'}, 'avatar_decoration_data': {'sku_id': '1287835633703845888', 'expires_at': None, 'asset': 'a_a8c5af1848e53cc221d149442c03828f'}, 'avatar': 'adfdd3170cc2297300f8761afcf6d83a'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1416473525404958834'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-13T17:20:05.357000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1416656333888946206', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Assigned Member role to <@361675863218978816>.', 'components': [], 'channel_type': 0, 'channel_id': '1416453255239696598', 'author': {'username': 'testing-robits', 'public_flags': 0, 'primary_guild': None, 'id': '1416456802513584198', 'global_name': None, 'display_name_styles': None, 'discriminator': '3078', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '2a68127a5d58c27f66d4d70cd3e2817d'}, 'attachments': [], 'guild_id': '1416453254677532704'}}
[2025-09-13 23:26:31] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-13 23:26:31] [DEBUG   ] discord.client: Dispatching event message
[2025-09-13 23:26:31] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1416453255239696598/messages with {"content":"Assigned Member role to <@361675863218978816>.","components":[],"nonce":"11112965484430785816","enforce_nonce":true,"tts":false} has returned 200
[2025-09-13 23:26:31] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-09-13 23:26:31] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1416453255239696598/messages has received {'type': 0, 'content': 'Assigned Member role to <@361675863218978816>.', 'mentions': [{'id': '361675863218978816', 'username': 'systemglitchfw', 'avatar': 'adfdd3170cc2297300f8761afcf6d83a', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': 'f1e5057eeb64e71025f9644316737189', 'accent_color': 26214, 'global_name': 'systemglitch', 'avatar_decoration_data': {'asset': 'a_a8c5af1848e53cc221d149442c03828f', 'sku_id': '1287835633703845888', 'expires_at': None}, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#006666', 'clan': {'identity_guild_id': '1369092161970110484', 'identity_enabled': True, 'tag': 'MIKU', 'badge': 'b1634260c0600006319f566a601bacad'}, 'primary_guild': {'identity_guild_id': '1369092161970110484', 'identity_enabled': True, 'tag': 'MIKU', 'badge': 'b1634260c0600006319f566a601bacad'}}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-09-14T05:26:30.201000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1416656333888946206', 'channel_id': '1416453255239696598', 'author': {'id': '1416456802513584198', 'username': 'testing-robits', 'avatar': '2a68127a5d58c27f66d4d70cd3e2817d', 'discriminator': '3078', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '11112965484430785816'}
[2025-09-13 23:26:31] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-09-13 23:27:06] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-09-13 23:27:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-13 23:27:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 9, 'op': 0, 'd': {'user_id': '361675863218978816', 'timestamp': 1757827659, 'member': {'user': {'username': 'systemglitchfw', 'public_flags': 0, 'primary_guild': {'tag': 'MIKU', 'identity_guild_id': '1369092161970110484', 'identity_enabled': True, 'badge': 'b1634260c0600006319f566a601bacad'}, 'id': '361675863218978816', 'global_name': 'systemglitch', 'display_name_styles': None, 'display_name': 'systemglitch', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1287835633703845888', 'expires_at': None, 'asset': 'a_a8c5af1848e53cc221d149442c03828f'}, 'avatar': 'adfdd3170cc2297300f8761afcf6d83a'}, 'roles': ['1416652039727087656'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-13T15:59:32.352000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1416453255239696598', 'guild_id': '1416453254677532704'}}
[2025-09-13 23:27:41] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-13 23:27:41] [DEBUG   ] discord.client: Dispatching event typing
[2025-09-13 23:27:41] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-09-13 23:27:43] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 10, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-14T05:27:41.882000+00:00', 'pinned': False, 'nonce': '1416656641264189440', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1416652039727087656'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-13T15:59:32.352000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1416656634540851262', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!secret', 'components': [], 'channel_type': 0, 'channel_id': '1416453255239696598', 'author': {'username': 'systemglitchfw', 'public_flags': 0, 'primary_guild': {'tag': 'MIKU', 'identity_guild_id': '1369092161970110484', 'identity_enabled': True, 'badge': 'b1634260c0600006319f566a601bacad'}, 'id': '361675863218978816', 'global_name': 'systemglitch', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'MIKU', 'identity_guild_id': '1369092161970110484', 'identity_enabled': True, 'badge': 'b1634260c0600006319f566a601bacad'}, 'avatar_decoration_data': {'sku_id': '1287835633703845888', 'expires_at': None, 'asset': 'a_a8c5af1848e53cc221d149442c03828f'}, 'avatar': 'adfdd3170cc2297300f8761afcf6d83a'}, 'attachments': [], 'guild_id': '1416453254677532704'}}
[2025-09-13 23:27:43] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-13 23:27:43] [DEBUG   ] discord.client: Dispatching event message
[2025-09-13 23:27:43] [DEBUG   ] discord.client: Dispatching event command
